"","Gene","Tratamiento","Tejido","Estres","Tiempo","Replica","Expresion_TPM"
"86","Gene_101","CRISPR","Musculo","Medio","72h",2,5.99055951983295
"87","Gene_111","DrugA","Cerebro","Bajo","24h",10,5.67321536643042
"88","Gene_185","DrugB","Musculo","Bajo","48h",21,3.62332623817922
"89","Gene_090","Control","Musculo","Alto","48h",24,17.5753056918007
"90","Gene_034","DrugA","Higado","Medio","72h",18,16.952679555818
"91","Gene_180","DrugB","Rinon","Bajo","72h",11,4.82244929666525
"92","Gene_136","DrugB","Cerebro","Medio","72h",28,8.45305543577312
"93","Gene_035","RNAi","Higado","Bajo","72h",28,4.80431666190343
"94","Gene_027","Control","Higado","Bajo","24h",7,3.45945035347776
"95","Gene_095","CRISPR","Cerebro","Medio","72h",4,7.32628386729556
"96","Gene_002","Control","Higado","Medio","24h",30,5.24792828346168
"97","Gene_087","DrugB","Musculo","Bajo","72h",26,8.00403257775502
"98","Gene_041","RNAi","Higado","Bajo","72h",5,6.47464109688663
"99","Gene_106","Control","Rinon","Alto","72h",7,10.3737285165463
"100","Gene_081","DrugB","Cerebro","Bajo","48h",21,8.46378037727396
"101","Gene_037","DrugB","Rinon","Bajo","24h",13,14.0903210349099
"102","Gene_043","DrugA","Rinon","Medio","72h",8,NA
"103","Gene_043","Control","Cerebro","Medio","24h",2,4.90251987641053
"104","Gene_138","DrugA","Musculo","Bajo","72h",21,7.10818082559976
"105","Gene_064","DrugB","Rinon","Alto","48h",17,13.6917446283096
"106","Gene_152","RNAi","Cerebro","Alto","48h",18,4.51482487738395
"107","Gene_064","DrugB","Higado","Medio","72h",15,9.34254559161972
"108","Gene_135","DrugA","Rinon","Medio","48h",14,4.42652756377154
"109","Gene_057","CRISPR","Higado","Bajo","72h",17,11.8997814424636
"110","Gene_051","Control","Higado","Bajo","24h",15,5.45957266719485
"111","Gene_135","RNAi","Musculo","Medio","72h",18,7.2518045589269
"112","Gene_033","DrugA","Cerebro","Bajo","72h",20,20.3224887195796
"113","Gene_034","DrugB","Musculo","Bajo","48h",22,8.29323297547058
"114","Gene_063","DrugB","Musculo","Medio","72h",22,4.01342916433763
"115","Gene_096","RNAi","Musculo","Alto","48h",18,10.2769364207297
"116","Gene_132","CRISPR","Cerebro","Medio","48h",8,6.87974686300853
"117","Gene_124","CRISPR","Cerebro","Medio","72h",29,6.8036136506426
"118","Gene_196","Control","Cerebro","Alto","24h",30,4.27257805366456
"119","Gene_010","CRISPR","Musculo","Alto","48h",4,2.72258398782164
"120","Gene_143","Control","Higado","Medio","24h",21,3.49307401133171
"121","Gene_096","CRISPR","Rinon","Bajo","72h",10,10.6310511608749
"122","Gene_171","Control","Cerebro","Medio","72h",26,9.52767950263428
"123","Gene_137","DrugA","Musculo","Alto","24h",25,5.86134224852757
"124","Gene_171","RNAi","Higado","Bajo","24h",29,3.94289696425535
"125","Gene_064","RNAi","Rinon","Bajo","72h",6,6.45335587789691
"126","Gene_173","DrugA","Rinon","Bajo","48h",22,4.19198865311484
"127","Gene_042","DrugA","Rinon","Medio","72h",18,6.25697253845036
"128","Gene_066","CRISPR","Rinon","Alto","72h",11,1.86069991239065
"129","Gene_160","RNAi","Cerebro","Alto","24h",22,16.093855268386
"130","Gene_026","Control","Musculo","Alto","48h",11,8.051596355003
"131","Gene_167","DrugA","Cerebro","Bajo","48h",19,17.571843283969
"132","Gene_024","RNAi","Cerebro","Alto","48h",10,9.61212448410867
"133","Gene_083","Control","Higado","Medio","72h",22,5.15283609399259
"134","Gene_008","RNAi","Musculo","Bajo","24h",8,5.29332464764546
"135","Gene_096","CRISPR","Musculo","Alto","48h",25,NA
"136","Gene_140","CRISPR","Higado","Medio","24h",10,9.63122450714843
"137","Gene_019","DrugA","Higado","Bajo","72h",28,12.4403233893265
"138","Gene_076","DrugA","Higado","Medio","72h",29,2.65344788415113
"139","Gene_033","RNAi","Rinon","Alto","72h",18,11.9621329357401
"140","Gene_059","Control","Rinon","Bajo","72h",11,4.51910533752834
"141","Gene_161","DrugA","Higado","Alto","24h",7,3.45679435592705
"142","Gene_108","CRISPR","Musculo","Medio","48h",26,11.5191722052508
"143","Gene_127","DrugA","Cerebro","Alto","48h",12,8.36522639254999
"144","Gene_038","RNAi","Cerebro","Medio","48h",9,7.32522535234373
"145","Gene_088","DrugB","Cerebro","Alto","48h",26,8.06090721931721
"146","Gene_063","DrugA","Higado","Alto","72h",8,2.51051258959617
"147","Gene_113","RNAi","Rinon","Medio","72h",28,6.25634265409958
"148","Gene_083","RNAi","Rinon","Alto","48h",20,7.99499781347417
"149","Gene_017","CRISPR","Musculo","Alto","48h",4,13.3257969697452
"150","Gene_062","RNAi","Musculo","Bajo","72h",24,4.59349721617152
"151","Gene_002","DrugB","Higado","Bajo","72h",11,7.5776422725856
"152","Gene_032","DrugA","Musculo","Medio","48h",3,4.24229991748737
"153","Gene_035","CRISPR","Musculo","Bajo","48h",14,6.58314014500878
"154","Gene_171","Control","Cerebro","Medio","48h",12,11.685709163645
"155","Gene_161","DrugB","Higado","Bajo","72h",8,15.7313843510731
"156","Gene_132","Control","Musculo","Medio","48h",14,2.55875754031204
"157","Gene_032","Control","Higado","Alto","48h",11,NA
"158","Gene_148","CRISPR","Musculo","Medio","24h",27,18.7843084490401
"159","Gene_068","CRISPR","Higado","Medio","72h",4,4.69695830127426
"160","Gene_180","CRISPR","Cerebro","Alto","48h",27,8.71588194870326
"161","Gene_101","Control","Higado","Bajo","72h",2,5.11864185595244
"162","Gene_127","DrugB","Higado","Alto","24h",20,4.06876030073861
"163","Gene_131","DrugB","Higado","Bajo","72h",18,7.24456058254815
"164","Gene_117","DrugB","Rinon","Medio","24h",12,6.94939551142198
"165","Gene_052","Control","Rinon","Bajo","48h",10,13.8976292174074
"166","Gene_173","CRISPR","Musculo","Bajo","48h",7,4.79550797051784
"167","Gene_024","Control","Higado","Alto","72h",3,10.4775354044085
"168","Gene_046","RNAi","Cerebro","Medio","72h",6,4.32872005157917
"169","Gene_062","DrugB","Cerebro","Medio","72h",20,6.02607240744471
"170","Gene_086","Control","Higado","Bajo","24h",2,7.27118409691863
"171","Gene_043","CRISPR","Higado","Medio","48h",29,3.77783412942086
"172","Gene_182","Control","Cerebro","Alto","24h",1,8.42619970641102
"173","Gene_146","CRISPR","Rinon","Medio","72h",3,15.3806360816096
"174","Gene_017","Control","Cerebro","Medio","24h",25,6.34642822086809
"175","Gene_151","RNAi","Musculo","Bajo","48h",24,12.8697762168962
"176","Gene_157","Control","Higado","Alto","72h",14,8.32577974399856
"177","Gene_143","CRISPR","Rinon","Alto","24h",5,4.68553672373154
"178","Gene_196","Control","Cerebro","Bajo","72h",1,16.431517917149
"179","Gene_016","Control","Rinon","Alto","72h",25,6.50097375112977
"180","Gene_104","DrugA","Musculo","Bajo","48h",9,6.27149802786201
"181","Gene_074","Control","Musculo","Medio","24h",30,10.6940575503606
"182","Gene_021","DrugB","Cerebro","Alto","24h",8,7.7829481488055
"183","Gene_031","RNAi","Musculo","Bajo","72h",13,7.35063133965302
"184","Gene_157","CRISPR","Rinon","Medio","48h",7,12.0637433451007
"185","Gene_071","CRISPR","Cerebro","Alto","48h",5,9.8160530700838
"186","Gene_118","DrugB","Higado","Medio","24h",1,15.625080629118
"187","Gene_002","CRISPR","Higado","Alto","48h",24,6.86680845245129
"188","Gene_071","DrugA","Cerebro","Alto","24h",30,NA
"189","Gene_045","Control","Higado","Bajo","24h",19,7.76454716786925
"190","Gene_033","Control","Cerebro","Medio","48h",10,8.43409989835485
"191","Gene_041","DrugA","Musculo","Medio","24h",14,6.22287828773225
"192","Gene_046","CRISPR","Musculo","Medio","24h",29,19.1387844288841
"193","Gene_184","RNAi","Musculo","Bajo","24h",3,4.4681886723913
"194","Gene_188","RNAi","Musculo","Bajo","48h",25,6.78434369806678
"195","Gene_073","CRISPR","Rinon","Medio","24h",15,4.21059240289392
"196","Gene_124","CRISPR","Higado","Bajo","24h",16,4.38930339797248
"197","Gene_091","CRISPR","Musculo","Bajo","72h",1,4.26494515067421
"198","Gene_146","CRISPR","Rinon","Medio","24h",15,5.4635766034236
"199","Gene_105","CRISPR","Cerebro","Medio","48h",2,5.99051916809317
"200","Gene_069","CRISPR","Higado","Bajo","72h",23,NA
"201","Gene_172","CRISPR","Higado","Alto","72h",12,5.08461354651664
"202","Gene_108","DrugB","Musculo","Bajo","72h",23,6.4061613346096
"203","Gene_020","RNAi","Higado","Bajo","48h",23,4.53770820205359
"204","Gene_014","RNAi","Musculo","Medio","72h",17,15.7942597827859
"205","Gene_176","RNAi","Rinon","Bajo","24h",21,8.93468373104727
"206","Gene_097","CRISPR","Higado","Bajo","72h",13,5.35547450510909
"207","Gene_019","RNAi","Higado","Bajo","48h",27,6.19110556192392
"208","Gene_171","CRISPR","Musculo","Medio","24h",13,4.24558136181002
"209","Gene_143","RNAi","Rinon","Alto","24h",10,20.1666617570016
"210","Gene_018","DrugB","Cerebro","Medio","48h",7,7.23543921185782
"211","Gene_176","RNAi","Higado","Bajo","72h",30,10.610475455268
"212","Gene_101","CRISPR","Rinon","Medio","48h",15,6.38998111096616
"213","Gene_044","Control","Higado","Medio","72h",4,16.7185479471539
"214","Gene_069","Control","Higado","Bajo","24h",26,7.26566105974816
"215","Gene_156","DrugB","Musculo","Bajo","24h",26,5.50422478699756
"216","Gene_121","RNAi","Musculo","Bajo","48h",11,6.41364547951575
"217","Gene_092","DrugB","Cerebro","Bajo","24h",2,7.94174275424538
"218","Gene_040","Control","Rinon","Medio","72h",25,6.7408688914518
"219","Gene_193","CRISPR","Cerebro","Medio","24h",4,10.0978684992369
"220","Gene_150","CRISPR","Cerebro","Alto","48h",9,NA
"221","Gene_075","DrugB","Rinon","Bajo","72h",7,3.96749035052678
"222","Gene_049","CRISPR","Rinon","Bajo","48h",5,7.91645019619143
"223","Gene_093","Control","Cerebro","Medio","24h",12,6.53773317074373
"224","Gene_065","Control","Rinon","Alto","48h",15,5.44904101889684
"225","Gene_125","DrugA","Musculo","Alto","48h",30,6.81456289676333
"226","Gene_032","CRISPR","Cerebro","Medio","48h",8,8.76470263629938
"227","Gene_062","CRISPR","Higado","Medio","24h",3,7.8877110970778
"228","Gene_167","RNAi","Cerebro","Alto","48h",18,6.88792179574643
"229","Gene_161","Control","Higado","Alto","72h",14,3.47321966096975
"230","Gene_083","RNAi","Rinon","Medio","48h",8,9.67163179235467
"231","Gene_079","DrugA","Rinon","Medio","24h",28,9.87936510627657
"232","Gene_031","DrugB","Higado","Medio","72h",17,9.5055230419209
"233","Gene_092","Control","Rinon","Medio","72h",27,9.16710784689683
"234","Gene_113","CRISPR","Higado","Bajo","24h",22,5.89335202028955
"235","Gene_171","DrugB","Cerebro","Medio","24h",7,9.74042979301221
"236","Gene_108","DrugB","Cerebro","Bajo","48h",13,31.4593004982992
"237","Gene_011","RNAi","Rinon","Bajo","24h",8,6.00239938247427
"238","Gene_042","Control","Higado","Bajo","48h",19,10.2315288318234
"239","Gene_167","CRISPR","Musculo","Alto","72h",17,6.90904882231268
"240","Gene_091","DrugA","Rinon","Bajo","24h",24,6.56888790852243
"241","Gene_114","DrugB","Musculo","Bajo","24h",6,NA
"242","Gene_200","Control","Rinon","Bajo","72h",17,12.2197050266702
"243","Gene_036","RNAi","Cerebro","Medio","72h",14,7.44903468734689
"244","Gene_024","DrugA","Higado","Bajo","72h",17,4.3414570703507
"245","Gene_039","DrugB","Musculo","Medio","48h",13,NA
"246","Gene_033","DrugA","Cerebro","Medio","24h",10,6.87168079712394
"247","Gene_165","DrugA","Rinon","Bajo","72h",1,3.46913400399498
"248","Gene_029","DrugB","Higado","Bajo","72h",17,17.4378588809242
"249","Gene_026","DrugA","Higado","Bajo","24h",18,18.4077278272991
"250","Gene_031","DrugB","Cerebro","Bajo","24h",27,10.2045060035336
"251","Gene_120","CRISPR","Rinon","Bajo","72h",26,5.70810633736572
"252","Gene_154","RNAi","Cerebro","Bajo","72h",4,4.18144000009137
"253","Gene_166","CRISPR","Musculo","Medio","72h",11,17.3217424151207
"254","Gene_078","CRISPR","Musculo","Bajo","72h",26,8.31241375873033
"255","Gene_160","DrugA","Higado","Bajo","48h",29,7.20077116218662
"256","Gene_057","Control","Musculo","Bajo","48h",28,6.95644449935199
"257","Gene_192","Control","Rinon","Alto","24h",3,4.06995650691108
"258","Gene_043","DrugB","Musculo","Bajo","72h",16,4.61690514027754
"259","Gene_071","Control","Higado","Alto","24h",7,4.46544289728117
"260","Gene_004","DrugB","Cerebro","Medio","48h",19,3.99859675757863
"261","Gene_043","DrugB","Cerebro","Medio","24h",6,9.06138950369614
"262","Gene_194","Control","Rinon","Medio","48h",3,11.011631509507
"263","Gene_084","RNAi","Cerebro","Alto","72h",13,3.76404382879733
"264","Gene_152","DrugA","Cerebro","Alto","72h",23,4.54741185862097
"265","Gene_067","DrugB","Cerebro","Bajo","48h",4,5.15079683981497
"266","Gene_199","RNAi","Musculo","Alto","72h",10,5.33659656232001
"267","Gene_136","RNAi","Rinon","Alto","48h",30,7.61690047226023
"268","Gene_039","RNAi","Higado","Medio","48h",25,5.0384862636947
"269","Gene_176","CRISPR","Higado","Medio","48h",23,9.6219060851042
"270","Gene_107","RNAi","Higado","Bajo","24h",11,5.2379377432623
"271","Gene_129","DrugB","Higado","Medio","72h",18,6.92599314106108
"272","Gene_055","DrugA","Rinon","Bajo","24h",13,10.8776582544915
"273","Gene_196","Control","Rinon","Medio","48h",21,NA
"274","Gene_023","CRISPR","Higado","Medio","48h",14,5.077346463581
"275","Gene_046","RNAi","Higado","Alto","24h",25,8.97329375120328
"276","Gene_138","CRISPR","Cerebro","Bajo","48h",18,3.35154037062314
"277","Gene_031","CRISPR","Cerebro","Bajo","48h",16,8.41931771592548
"278","Gene_156","CRISPR","Cerebro","Bajo","24h",21,7.26251064394192
"279","Gene_141","RNAi","Rinon","Medio","72h",17,8.69706978520404
"280","Gene_090","DrugB","Cerebro","Alto","24h",3,7.2455843341958
"281","Gene_006","RNAi","Rinon","Alto","24h",22,2.53848749251294
"282","Gene_003","CRISPR","Rinon","Medio","72h",19,9.12336065446917
"283","Gene_018","DrugB","Musculo","Bajo","48h",11,3.94940956880267
"284","Gene_129","CRISPR","Musculo","Alto","48h",17,6.81564650945
"285","Gene_101","RNAi","Rinon","Alto","48h",5,5.36838773279245
"286","Gene_013","DrugA","Rinon","Medio","24h",15,8.36209054453093
"287","Gene_018","DrugA","Cerebro","Medio","24h",2,10.5922221187162
"288","Gene_109","DrugA","Musculo","Alto","48h",28,5.29336691519339
"289","Gene_027","DrugB","Musculo","Alto","72h",6,5.85401824909449
"290","Gene_170","RNAi","Higado","Bajo","48h",27,4.10525362952263
"291","Gene_194","DrugA","Musculo","Bajo","24h",12,2.93447783069333
"292","Gene_098","CRISPR","Cerebro","Medio","24h",12,4.06619353710353
"293","Gene_054","RNAi","Rinon","Bajo","24h",14,5.73809291212298
"294","Gene_183","RNAi","Rinon","Medio","72h",16,6.01628867001698
"295","Gene_049","DrugB","Cerebro","Bajo","72h",2,11.0116997611871
"296","Gene_161","DrugA","Musculo","Medio","72h",5,6.1601924370934
"297","Gene_091","CRISPR","Rinon","Alto","24h",4,4.60067400159039
"298","Gene_048","DrugA","Musculo","Medio","24h",7,6.14776996992013
"299","Gene_108","CRISPR","Rinon","Alto","72h",4,6.92492331474745
"300","Gene_172","CRISPR","Rinon","Bajo","72h",24,8.47571109885778
"301","Gene_031","DrugA","Musculo","Alto","72h",12,11.4352425360288
"302","Gene_023","DrugA","Rinon","Alto","72h",27,NA
"303","Gene_065","Control","Higado","Medio","24h",15,10.4365185400452
"304","Gene_020","Control","Cerebro","Medio","72h",8,2.42759664453759
"305","Gene_142","Control","Rinon","Medio","72h",30,3.77486307496225
"306","Gene_080","Control","Musculo","Medio","24h",22,7.15484775285282
"307","Gene_056","RNAi","Rinon","Alto","72h",13,5.00924193174441
"308","Gene_080","DrugB","Higado","Bajo","24h",13,NA
"309","Gene_041","DrugB","Cerebro","Alto","48h",13,5.17150168524682
"310","Gene_123","Control","Cerebro","Alto","48h",19,10.018403077903
"311","Gene_004","DrugB","Higado","Alto","48h",30,9.40777108324962
"312","Gene_022","RNAi","Rinon","Bajo","72h",4,13.2702307947223
"313","Gene_151","RNAi","Higado","Medio","72h",8,7.33673419710051
"314","Gene_004","RNAi","Musculo","Bajo","48h",15,3.84511828706889
"315","Gene_069","RNAi","Higado","Bajo","24h",5,16.2913265365692
"316","Gene_019","Control","Musculo","Bajo","72h",5,5.05639254437947
"317","Gene_044","CRISPR","Higado","Alto","24h",24,7.93321080430566
"318","Gene_095","DrugA","Musculo","Medio","72h",26,7.31820638759282
"319","Gene_188","DrugB","Higado","Medio","48h",24,8.74904658612535
"320","Gene_165","RNAi","Cerebro","Medio","72h",23,4.24174467995692
"321","Gene_135","DrugB","Higado","Medio","48h",6,3.48132242479406
"322","Gene_120","RNAi","Musculo","Bajo","72h",22,9.85128721201618
"323","Gene_007","Control","Musculo","Alto","24h",19,5.97592686371966
"324","Gene_031","DrugA","Cerebro","Medio","72h",28,NA
"325","Gene_182","DrugB","Musculo","Bajo","24h",2,3.89182437109705
"326","Gene_122","CRISPR","Rinon","Bajo","24h",21,9.55374924954735
"327","Gene_001","Control","Cerebro","Bajo","24h",7,7.24242840769693
"328","Gene_048","DrugB","Higado","Medio","72h",8,4.67983651002532
"329","Gene_007","Control","Rinon","Bajo","72h",3,10.0495365365552
"330","Gene_057","DrugA","Musculo","Bajo","24h",28,8.19422712366163
"331","Gene_101","Control","Rinon","Bajo","24h",5,7.45627767812844
"332","Gene_069","Control","Rinon","Alto","72h",12,14.4588156538032
"333","Gene_134","CRISPR","Musculo","Alto","72h",23,5.38849087189282
"334","Gene_133","Control","Rinon","Bajo","24h",3,7.99551072798025
"335","Gene_133","RNAi","Musculo","Medio","24h",28,15.8704410277613
"336","Gene_154","CRISPR","Rinon","Bajo","72h",2,6.72305098997936
"337","Gene_017","RNAi","Rinon","Medio","72h",16,20.0309791734779
"338","Gene_122","DrugA","Musculo","Alto","72h",12,NA
"339","Gene_040","DrugA","Cerebro","Bajo","24h",22,8.42735674210459
"340","Gene_018","CRISPR","Rinon","Alto","24h",3,16.002230151544
"341","Gene_166","RNAi","Rinon","Alto","48h",25,7.52038111518164
"342","Gene_148","CRISPR","Rinon","Bajo","48h",11,4.3613784255273
"343","Gene_166","DrugA","Higado","Bajo","72h",5,3.25010549403692
"344","Gene_200","CRISPR","Musculo","Medio","24h",26,5.79571651020358
"345","Gene_004","DrugA","Musculo","Bajo","48h",18,4.93687400860868
"346","Gene_042","RNAi","Cerebro","Alto","24h",21,5.16542852938828
"347","Gene_001","CRISPR","Cerebro","Medio","72h",4,13.182101532008
"348","Gene_081","RNAi","Higado","Bajo","72h",21,12.5136670437029
"349","Gene_124","DrugB","Rinon","Bajo","48h",1,8.83425210441071
"350","Gene_054","CRISPR","Higado","Alto","72h",22,8.63216655012686
"351","Gene_048","CRISPR","Musculo","Alto","48h",7,3.68427704961552
"352","Gene_047","Control","Higado","Bajo","72h",29,16.0808493911475
"353","Gene_006","DrugB","Musculo","Medio","24h",20,7.86677513495468
"354","Gene_066","DrugB","Musculo","Bajo","72h",8,4.12205180908493
"355","Gene_155","CRISPR","Higado","Medio","48h",9,14.7988113296781
"356","Gene_059","CRISPR","Higado","Alto","48h",27,16.4388067396939
"357","Gene_099","CRISPR","Higado","Bajo","72h",4,14.1433415533895
"358","Gene_157","CRISPR","Musculo","Bajo","24h",9,9.31105604067473
"359","Gene_002","RNAi","Higado","Medio","48h",12,4.46796419436326
"360","Gene_016","DrugB","Cerebro","Bajo","48h",29,3.70040124823212
"361","Gene_059","DrugA","Musculo","Bajo","24h",17,NA
"362","Gene_080","CRISPR","Cerebro","Medio","48h",23,8.99175014208818
"363","Gene_184","Control","Musculo","Bajo","24h",12,6.19896685197726
"364","Gene_090","DrugB","Musculo","Bajo","24h",28,5.21431355084239
"365","Gene_018","CRISPR","Musculo","Bajo","24h",5,12.2933225767562
"366","Gene_148","DrugB","Higado","Alto","48h",25,4.6669378210117
"367","Gene_161","Control","Cerebro","Bajo","24h",30,12.3730345272907
"368","Gene_065","DrugB","Rinon","Alto","72h",29,12.7111820202499
"369","Gene_094","CRISPR","Higado","Alto","48h",8,6.65587025982334
"370","Gene_175","DrugA","Cerebro","Alto","48h",21,9.4199018397216
"371","Gene_014","Control","Musculo","Bajo","72h",25,13.4133791829685
"372","Gene_150","DrugB","Rinon","Medio","48h",24,9.33776656885906
"373","Gene_045","DrugA","Rinon","Medio","48h",15,7.74328785975867
"374","Gene_101","RNAi","Higado","Medio","48h",12,3.81405244931539
"375","Gene_015","DrugA","Rinon","Medio","24h",15,5.64470487872004
"376","Gene_176","RNAi","Higado","Bajo","48h",25,10.1421613356915
"377","Gene_071","DrugB","Higado","Alto","48h",2,5.15372640055268
"378","Gene_015","DrugA","Musculo","Bajo","72h",12,15.25582732129
"379","Gene_143","Control","Higado","Bajo","48h",23,19.210093554827
"380","Gene_120","Control","Cerebro","Bajo","48h",22,6.46841749260744
"381","Gene_003","CRISPR","Rinon","Medio","72h",24,8.97854071135267
"382","Gene_077","Control","Higado","Medio","72h",15,8.91581223383683
"383","Gene_089","DrugA","Higado","Bajo","72h",11,7.0250785129851
"384","Gene_060","Control","Higado","Alto","48h",28,8.01931820107133
"385","Gene_093","Control","Cerebro","Alto","48h",14,NA
"386","Gene_036","DrugA","Musculo","Alto","24h",16,4.30720109049925
"387","Gene_078","CRISPR","Cerebro","Alto","48h",9,13.8178482393764
